;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
50;84.900;Honda;City;1.5 Exl 16v;68.895;2017;SP;Ipiranga - São Paulo Zona Sul;Premium Auto Shopping
51;86.900;Volkswagen;Saveiro;1.6 Cross Cd 16v;72.174;2017;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
52;67.990;Honda;City;1.5 Exl 16v;122.000;2015;SP;Baeta Neves - São Bernardo do Campo;Vazio
53;59.990;Volkswagen;Spacefox;1.6 Msi Trendline 8v;60.000;2019;SP;Rudge Ramos - São Bernardo do Campo;Vazio
54;89.990;Hyundai;Creta;16a Pulse;67.500;2018;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
55;73.900;Fiat;Doblo;Essence 7l E;95.000;2020;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
56;84.900;Honda;Wr-v;1.5 16v Ex;71.000;2018;SP;Parque Capuava - Santo André;Vazio
57;56.900;Volkswagen;Up!;Up Move Mcv;81.874;2019;SP;Centro - Ribeirão Pires;Vazio
58;88.900;Jeep;Renegade;1.8 Longitude Flex Aut. 5p;80.000;2016;SP;Tamboré - Barueri;Vazio
59;86.900;Citroã«n;C4;Cactus 1.6 Feel 16v Aut. 5p;59.000;2020;SP;Tamboré - Barueri;Vazio
60;81.990;Honda;Civic;2.0 Lxr 16v;80.000;2016;SP;Jardim Sumare - Ribeirão Preto;Vazio
61;55.700;Chevrolet;Onix;1.0 Mpfi Lt 8v;65.000;2019;SP;Moóca - São Paulo Zona Leste;Vazio
62;61.900;Hyundai;Hb20s;1.0 Unique 12v;46.577;2019;SP;Jurubatuba - São Paulo Zona Sul;Vazio
63;89.900;Volkswagen;Polo;1.0 200 Tsi Highline Automático;81.000;2019;SP;São Paulo Zona Norte;Vazio
64;79.900;Honda;Fit;1.5 Ex 16v;60.800;2017;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
65;81.990;Honda;Civic;2.0 Lxr 16v Flex 4p Automático;93.334;2016;SP;Sorocaba;Vazio
66;69.990;Hyundai;Hb20s;Hyundai Hb20s 1.6 Comfort Plus 16v Flex 4p Manual 4p - 17/1;40.041;2018;SP;Ponte Preta - Campinas;Vazio
67;57.990;Fiat;Argo;1.3 Firefly Flex Drive Manual;108.349;2018;SP;Sorocaba;Vazio
68;66.900;Chevrolet;Onix;1.4 Mpfi Ltz 8v;40.000;2018;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
69;69.990;Chevrolet;Onix;1.4 Mpfi Activ 8v;94.000;2017;SP;Parque da Mooca - São Paulo Zona Leste;Premium Auto Shopping
70;89.990;Volkswagen;Jetta;2.0 Tsi Highline 211cv;99.000;2015;SP;Parque São Lucas - São Paulo Zona Leste;Vazio
