;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
371;79.990;Volkswagen;Polo;Polo Automático;35.000;2020;SC;Rio Tavares - Florianópolis;Vazio
372;79.990;Volkswagen;Virtus;Virtus Msi 1.6;35.000;2020;SC;Rio Tavares - Florianópolis;Vazio
373;56.180;Ford;Ka;1.0 Ti-vct Flex Se Sedan Manual;22.800;2020;SC;Saco Grande - Florianópolis;Localiza Seminovos
374;56.900;Renault;Logan;1.0 12v Sce Flex Zen Manual;69.000;2020;SC;Areias - São José;Vazio
375;67.900;Fiat;Argo;1.0 Firefly Flex Manual;54.000;2021;SC;Areias - São José;Vazio
376;69.900;Fiat;Argo;1.0 Firefly Flex Manual;13.000;2021;SC;Areias - São José;Vazio
377;57.800;Volkswagen;Gol;1.0 12v Mpi Totalflex 4p Manual;44.000;2021;SC;Areias - São José;Vazio
378;62.900;Volkswagen;Fox;Rock In Rio 1.6mi 8v;64.000;2016;SC;Brusque;Vazio
379;62.990;Chevrolet;Onix;Lt 1.0;55.000;2018;SC;Brusque;Vazio
380;89.360;Renault;Duster;Zen 1.6 16v (flex);20.000;2021;SC;Itajaí;Seminovos Movida
381;59.600;Hyundai;Hb20;1.0 Sense (flex);41.830;2020;SC;Itajaí;Seminovos Movida
382;82.030;Fiat;Fiorino;1.4 Hard Working (flex);29.403;2021;SC;América - Joinville;Seminovos Movida
383;86.930;Fiat;Fiorino;1.4 Endurance (flex);35.575;2021;SC;América - Joinville;Seminovos Movida
384;77.330;Hyundai;Hb20s;1.6 Vision (aut) (flex);52.005;2020;SC;Itoupava Norte - Blumenau;Vazio
385;60.910;Volkswagen;Gol;1.6 Msi (flex);31.775;2021;SC;Itoupava Norte - Blumenau;Vazio
386;85.260;Chevrolet;Sedan;1.0 Ltz Turbo Flex (aut);39.516;2020;SC;Itoupava Norte - Blumenau;Vazio
387;68.860;Renault;Sandero;Zen 1.6 16v Sce (flex) (aut);44.588;2020;SC;América - Joinville;Seminovos Movida
388;82.030;Fiat;Fiorino;1.4 Hard Working (flex);34.307;2021;SC;Itajaí;Seminovos Movida
389;57.470;Renault;Sandero;Zen 1.0 12v Sce (flex);38.780;2021;SC;Itoupava Norte - Blumenau;Vazio
390;73.120;Volkswagen;Virtus;1.6 Msi 16v (flex);60.148;2020;SC;Itajaí;Seminovos Movida
391;57.030;Volkswagen;Gol;1.0 12v (flex);39.851;2021;SC;Itoupava Norte - Blumenau;Vazio
392;78.420;Hyundai;Hb20;1.6 Launch Edition (aut) (flex);46.541;2020;SC;Itoupava Norte - Blumenau;Vazio
393;55.570;Renault;Logan;Life 1.0 12v Sce (flex);47.125;2021;SC;Itoupava Norte - Blumenau;Vazio
394;57.900;Ford;Ka;Se 1.0;97.000;2019;SC;Brusque;Vazio
395;58.990;Ford;Ka;Se 1.0 Flex;24.400;2018;SC;Brusque;Vazio
396;62.990;Volkswagen;Voyage;Cl 1.6;135.000;2018;SC;Brusque;Vazio
397;64.990;Ford;Ka;1.0 Freestyle;58.300;2020;SC;Brusque;Vazio
398;63.990;Hyundai;Hb20;Unique 1.0;36.000;2019;SC;Brusque;Vazio
399;69.990;Ford;Ecosport;Se 1.6;90.000;2016;SC;Brusque;Vazio
400;84.990;Ford;Ecosport;Freestyle 1.5 12v Flex 5p Aut.;53.000;2019;SC;Florianópolis;Vazio
401;81.990;Jeep;Renegade;Longitude 1.8 4x2 Flex 16v Aut.;65.000;2016;SC;Florianópolis;Vazio
402;77.990;Hyundai;Ix35;Gls 2.0 16v 2wd Flex Aut.;95.000;2015;SC;Florianópolis;Vazio
403;85.990;Jeep;Renegade;Longitude 1.8 4x2 Flex 16v Aut.;53.000;2017;SC;Florianópolis;Vazio
404;74.990;Chevrolet;Cruze;Sport Hb Lt 1.8 16v Flexp. 5p Aut;71.000;2016;SC;Florianópolis;Vazio
405;83.990;Toyota;Yaris;Xl Plus Tech 1.3 Flex 16v Aut.;34.000;2020;SC;Florianópolis;Vazio
406;59.900;Volkswagen;Spacefox;1.6 Comfortline Total Flex 5p (ar);63.714;2015;SC;São João - Itajaí;Vazio
407;69.900;Ford;Ecosport;1.6 Se 16v Flex 4p Powershift;64.000;2017;SC;Timbó;Vazio
408;56.990;Peugeot;208;Allure;62.500;2016;SC;Brusque;Vazio
409;85.900;Honda;Civic;2.0 Lxr 16v Flex 4p Automático;113.000;2016;SC;Timbó;Vazio
410;69.990;Honda;City;Honda City Lx 1.5 Cvt 2015;48.700;2015;SC;Rio Tavares - Florianópolis;Vazio
411;69.990;Hyundai;Hb20x;Style 1.6 Flex;77.000;2017;SC;Brusque;Vazio
412;58.990;Renault;Logan;Renault Logan Expression 1.0 12v 2019/2020 Prata;55.351;2020;SC;Rio Tavares - Florianópolis;Vazio
413;64.900;Fiat;Argo;Drive 1.3 Flex Automatico;68.727;2018;SC;São José;Vazio
414;68.900;Hyundai;Hb20;Hb20 1.6a 1.6 A;26.500;2017;SC;Itoupava Seca - Blumenau;Vazio
415;90.000;Ford;Ranger;2.2 Xls Cab. Dupla 4x4 4p;145.634;2018;SC;Santo Amaro da Imperatriz;Vazio
416;61.990;Volkswagen;Gol;1.0 Flex 12v 5p;45.000;2021;SC;Florianópolis;Vazio
417;65.990;Chevrolet;Prisma;Ii Sed. Lt 1.4 8v Flexpower 4p;56.300;2018;SC;Florianópolis;Vazio
418;68.990;Volkswagen;Polo;1.6 Msi Flex 16v 5p;68.000;2018;SC;Florianópolis;Vazio
419;65.990;Chevrolet;Montana;Ls 1.4;51.000;2019;SC;Brusque;Vazio
420;87.990;Renault;Duster;Dynamique Cvt;42.786;2020;SC;Rio Tavares - Florianópolis;Vazio
421;55.990;Renault;Kwid;Kwid Zen 1.0 2021;50.000;2021;SC;Santa Mônica - Florianópolis;Vazio
422;65.900;Toyota;Etios;Sedan Xs 1.5;45.300;2018;SC;Brusque;Vazio
