;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1304;63.900;Ford;Focus;Sedan Focus Fastback Se/se Plus 2.0 Flex Aut;71.443;2016;PR;Tarumã - Curitiba;Vazio
1305;88.900;Chevrolet;Onix;Premier Turbo At 1.0;21.273;2020;PR;Curitiba;Vazio
1306;59.900;Renault;Kwid;Outsider 1.0;40.309;2020;PR;Fazendinha - Curitiba;Vazio
1307;63.500;Fiat;Argo;1.0 Firefly Flex Drive Manual;41.500;2020;PR;Centro - Toledo;Vazio
1308;59.900;Hyundai;Hb20;Hb20 1.0m Sense;33.000;2020;PR;Capão Raso - Curitiba;Vazio
1309;56.900;Ford;Ka;Se 1.0 Ha C;24.000;2020;PR;Capão Raso - Curitiba;Vazio
1310;78.900;Renault;Duster;1.6 Dynamique 4x2 16v Flex 4p Manual;37.879;2019;PR;Tarumã - Curitiba;Vazio
1311;89.900;Hyundai;Ix35;Ix35 B;102.487;2016;PR;Jardim das Américas - Curitiba;Vazio
1312;68.900;Fiat;Argo;1.0;7.847;2021;PR;Fazendinha - Curitiba;Vazio
1313;74.900;Chevrolet;Onix;1.4 Mt Active;14.793;2019;PR;Jardim das Américas - Curitiba;Vazio
1314;60.900;Renault;Kwid;Outsider _4p_;11.700;2021;PR;Siqueira Campos;Vazio
1315;59.900;Ford;Fiesta;Sel 1.6 16v Flex Mec. 5p;42.000;2017;PR;Rebouças - Curitiba;Vazio
1316;66.900;Fiat;Fiorino;1.4 Flex;40.000;2017;PR;Centro - São José dos Pinhais;Vazio
1317;70.900;Nissan;Versa;16uniquecvt;115.000;2018;PR;Curitiba;Vazio
1318;59.900;Renault;Duster;20 D 4x2;101.000;2015;PR;Curitiba;Vazio
1319;59.990;Volkswagen;Gol;1.6 Msi (flex);37.548;2019;PR;São José dos Pinhais;Vazio
1320;79.800;Fiat;Argo;Trekking 1.3;2.139;2022;PR;Região do Lago - Cascavel;Vazio
1321;79.000;Citroën;C4;Lounge S 1.6 Turbo Flex Aut;53.980;2018;PR;Boa Vista - Curitiba;Vazio
1322;58.800;Volkswagen;Saveiro;Nova Rb Mbvs;67.740;2018;PR;Região do Lago - Cascavel;Vazio
1323;83.900;Renault;Captur;Zen 1.6 Cvt Automatica;46.000;2018;PR;Centro - Londrina;Vazio
1324;77.900;Renault;Duster;Oroch Oroch 1.6 Dynamique 4x2;87.000;2017;PR;Centro - Londrina;Vazio
1325;81.900;Renault;Captur;1.6 16v Sce Flex Zen Manual;30.020;2019;PR;Campo Largo;Vazio
1326;81.900;Volkswagen;Polo;Cl Ad;48.390;2019;PR;Jardim das Américas - Curitiba;Vazio
1327;66.900;Volkswagen;Voyage;1.6 Msi Flex 8v 4p;30.810;2021;PR;Jardim das Américas - Curitiba;Vazio
1328;60.900;Nissan;March;1.0 Sv;25.000;2020;PR;Centro - Toledo;Vazio
